"[run number]","mr_marker","random-pairing","game","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"3","0","0.1","1","0","true","0","1350","true","false"
"1","0","0.1","1","0","true","0","1840","true","false"
"2","0","0.1","1","0","true","0","1953","true","false"
"4","0","0.1","1","0","true","0","2526","true","false"
"5","0","0.1","1","0","true","0","1645","true","false"
"6","0","0.1","1","0","true","0","1369","true","false"
"7","0","0.1","1","0","true","0","1095","true","false"
"10","0","0.1","1","0","true","0","838","true","false"
"8","0","0.1","1","0","true","0","1583","true","false"
"11","0","0.1","1","0","true","0","1042","true","false"
"14","0","0.1","1","0","true","0","867","true","false"
"12","0","0.1","1","0","true","0","1492","true","false"
"13","0","0.1","1","0","true","0","2011","true","false"
"15","0","0.1","1","0","true","0","695","true","false"
"9","0","0.1","1","0","true","0","3240","true","false"
"16","0","0.1","1","0","true","0","1123","true","false"
"19","0","0.1","1","0","true","0","880","true","false"
"20","0","0.1","1","0","true","0","1472","true","false"
"17","0","0.1","1","0","true","0","2304","true","false"
"18","0","0.1","1","0","true","0","2591","true","false"
"22","0","0.1","1","0","true","0","1465","true","false"
"25","0","0.1","1","0","true","0","423","false","true"
"21","0","0.1","1","0","true","0","3245","true","false"
"23","0","0.1","1","0","true","0","2035","true","false"
"24","0","0.1","1","0","true","0","1321","true","false"
"28","0","0.1","1","0","true","0","1419","true","false"
"29","0","0.1","1","0","true","0","1900","true","false"
"26","0","0.1","1","0","true","0","2456","true","false"
"30","0","0.1","1","0","true","0","1158","true","false"
"27","0","0.1","1","0","true","0","2664","true","false"
"32","0","0.1","1","0","true","0","1136","true","false"
"34","0","0.1","1","0","true","0","820","true","false"
"31","0","0.1","1","0","true","0","2099","true","false"
"36","0","0.1","1","0","true","0","1172","true","false"
"37","0","0.1","1","0","true","0","322","false","true"
"39","0","0.1","1","0","true","0","147","false","true"
"38","0","0.1","1","0","true","0","837","true","false"
"35","0","0.1","1","0","true","0","2484","true","false"
"33","0","0.1","1","0","true","0","3542","true","false"
"43","0","0.1","1","0","true","0","1131","true","false"
"41","0","0.1","1","0","true","0","2090","true","false"
"45","0","0.1","1","0","true","0","505","true","false"
"40","0","0.1","1","0","true","0","2971","true","false"
"44","0","0.1","1","0","true","0","1328","true","false"
"47","0","0.1","1","0","true","0","673","true","false"
"49","0","0.1","1","0","true","0","922","true","false"
"42","0","0.1","1","0","true","0","4236","true","false"
"46","0","0.1","1","0","true","0","2361","true","false"
"48","0","0.1","1","0","true","0","2371","true","false"
"50","0","0.1","1","0","true","0","1146","true","false"
"51","0","0.1","1","0","true","0","1144","true","false"
"53","0","0.1","1","0","true","0","416","true","false"
"56","0","0.1","1","0","true","0","767","true","false"
"54","0","0.1","1","0","true","0","900","true","false"
"55","0","0.1","1","0","true","0","916","true","false"
"52","0","0.1","1","0","true","0","2046","true","false"
"58","0","0.1","1","0","true","0","518","true","false"
"61","0","0.1","1","0","true","0","478","true","false"
"59","0","0.1","1","0","true","0","1639","true","false"
"57","0","0.1","1","0","true","0","2009","true","false"
"62","0","0.1","1","0","true","0","1163","true","false"
"60","0","0.1","1","0","true","0","2173","true","false"
"66","0","0.1","1","0","true","0","1084","true","false"
"64","0","0.1","1","0","true","0","2125","true","false"
"65","0","0.1","1","0","true","0","1847","true","false"
"63","0","0.1","1","0","true","0","2787","true","false"
"67","0","0.1","1","0","true","0","1373","true","false"
"68","0","0.1","1","0","true","0","1180","true","false"
"69","0","0.1","1","0","true","0","1070","true","false"
"70","0","0.1","1","0","true","0","1968","true","false"
"73","0","0.1","1","0","true","0","837","true","false"
"72","0","0.1","1","0","true","0","1746","true","false"
"75","0","0.1","1","0","true","0","739","true","false"
"71","0","0.1","1","0","true","0","2496","true","false"
"76","0","0.1","1","0","true","0","1076","true","false"
"78","0","0.1","1","0","true","0","1215","true","false"
"74","0","0.1","1","0","true","0","2172","true","false"
"77","0","0.1","1","0","true","0","1293","true","false"
"79","0","0.1","1","0","true","0","1103","true","false"
"83","0","0.1","1","0","true","0","398","true","false"
"80","0","0.1","1","0","true","0","1127","true","false"
"81","0","0.1","1","0","true","0","1505","true","false"
