"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"4","false","0.1","0","false","0.5","1","0","1115","true","false"
"1","false","0.1","0","false","0.5","1","0","1137","true","false"
"2","false","0.1","0","false","0.5","1","0","1331","true","false"
"3","false","0.1","0","false","0.5","1","0","1418","true","false"
"6","false","0.1","0","false","0.5","1","0","938","true","false"
"7","false","0.1","0","false","0.5","1","0","1201","true","false"
"5","false","0.1","0","false","0.5","1","0","2099","true","false"
"10","false","0.1","0","false","0.5","1","0","1339","true","false"
"8","false","0.1","0","false","0.5","1","0","2545","true","false"
"12","false","0.1","0","false","0.5","1","0","822","true","false"
"13","false","0.1","0","false","0.5","1","0","801","true","false"
"9","false","0.1","0","false","0.5","1","0","2339","true","false"
"11","false","0.1","0","false","0.5","1","0","1718","true","false"
"14","false","0.1","0","false","0.5","1","0","667","true","false"
"15","false","0.1","0","false","0.5","1","0","610","true","false"
"19","false","0.1","0","false","0.5","1","0","869","true","false"
"20","false","0.1","0","false","0.5","1","0","61","false","true"
"17","false","0.1","0","false","0.5","1","0","1849","true","false"
"18","false","0.1","0","false","0.5","1","0","1601","true","false"
"22","false","0.1","0","false","0.5","1","0","738","true","false"
"16","false","0.1","0","false","0.5","1","0","2338","true","false"
"21","false","0.1","0","false","0.5","1","0","1453","true","false"
"24","false","0.1","0","false","0.5","1","0","415","true","false"
"27","false","0.1","0","false","0.5","1","0","85","false","true"
"23","false","0.1","0","false","0.5","1","0","1175","true","false"
"25","false","0.1","0","false","0.5","1","0","662","true","false"
"30","false","0.1","0","false","0.5","1","0","536","true","false"
"29","false","0.1","0","false","0.5","1","0","823","true","false"
"28","false","0.1","0","false","0.5","1","0","1514","true","false"
"26","false","0.1","0","false","0.5","1","0","2317","true","false"
"34","false","0.1","0","false","0.5","1","0","605","true","false"
"31","false","0.1","0","false","0.5","1","0","1842","true","false"
"33","false","0.1","0","false","0.5","1","0","1460","true","false"
"32","false","0.1","0","false","0.5","1","0","2151","true","false"
"35","false","0.1","0","false","0.5","1","0","793","true","false"
"39","false","0.1","0","false","0.5","1","0","694","true","false"
"38","false","0.1","0","false","0.5","1","0","1685","true","false"
"36","false","0.1","0","false","0.5","1","0","1883","true","false"
"37","false","0.1","0","false","0.5","1","0","2103","true","false"
"43","false","0.1","0","false","0.5","1","0","76","false","true"
"41","false","0.1","0","false","0.5","1","0","509","true","false"
"40","false","0.1","0","false","0.5","1","0","1866","true","false"
"45","false","0.1","0","false","0.5","1","0","1613","true","false"
"46","false","0.1","0","false","0.5","1","0","869","true","false"
"44","false","0.1","0","false","0.5","1","0","2002","true","false"
"42","false","0.1","0","false","0.5","1","0","2800","true","false"
