"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"4","false","0.1","0","false","0.5","1","0","0.01","980","true","false"
"3","false","0.1","0","false","0.5","1","0","0.01","988","true","false"
"2","false","0.1","0","false","0.5","1","0","0.01","1371","true","false"
"1","false","0.1","0","false","0.5","1","0","0.01","1388","true","false"
"6","false","0.1","0","false","0.5","1","0","0.01","1337","true","false"
"5","false","0.1","0","false","0.5","1","0","0.01","1340","true","false"
"7","false","0.1","0","false","0.5","1","0","0.01","1081","true","false"
"9","false","0.1","0","false","0.5","1","0","0.01","987","true","false"
"10","false","0.1","0","false","0.5","1","0","0.01","968","true","false"
"8","false","0.1","0","false","0.5","1","0","0.01","1850","true","false"
"13","false","0.1","0","false","0.5","1","0","0.01","883","true","false"
"12","false","0.1","0","false","0.5","1","0","0.01","962","true","false"
"11","false","0.1","0","false","0.5","1","0","0.01","2064","true","false"
"14","false","0.1","0","false","0.5","1","0","0.01","1495","true","false"
"17","false","0.1","0","false","0.5","1","0","0.01","920","true","false"
"15","false","0.1","0","false","0.5","1","0","0.01","1760","true","false"
"19","false","0.1","0","false","0.5","1","0","0.01","1108","true","false"
"18","false","0.1","0","false","0.5","1","0","0.01","971","true","false"
"16","false","0.1","0","false","0.5","1","0","0.01","2718","true","false"
"21","false","0.1","0","false","0.5","1","0","0.01","1178","true","false"
"22","false","0.1","0","false","0.5","1","0","0.01","801","true","false"
"20","false","0.1","0","false","0.5","1","0","0.01","2711","true","false"
"24","false","0.1","0","false","0.5","1","0","0.01","1268","true","false"
"25","false","0.1","0","false","0.5","1","0","0.01","837","true","false"
"28","false","0.1","0","false","0.5","1","0","0.01","218","false","true"
"23","false","0.1","0","false","0.5","1","0","0.01","3236","true","false"
"27","false","0.1","0","false","0.5","1","0","0.01","1414","true","false"
"26","false","0.1","0","false","0.5","1","0","0.01","1713","true","false"
"29","false","0.1","0","false","0.5","1","0","0.01","919","true","false"
"30","false","0.1","0","false","0.5","1","0","0.01","702","true","false"
"31","false","0.1","0","false","0.5","1","0","0.01","1110","true","false"
"33","false","0.1","0","false","0.5","1","0","0.01","1108","true","false"
"32","false","0.1","0","false","0.5","1","0","0.01","1803","true","false"
"35","false","0.1","0","false","0.5","1","0","0.01","1049","true","false"
"34","false","0.1","0","false","0.5","1","0","0.01","1565","true","false"
"37","false","0.1","0","false","0.5","1","0","0.01","439","true","false"
"38","false","0.1","0","false","0.5","1","0","0.01","569","true","false"
"39","false","0.1","0","false","0.5","1","0","0.01","661","true","false"
"36","false","0.1","0","false","0.5","1","0","0.01","933","true","false"
"42","false","0.1","0","false","0.5","1","0","0.01","655","true","false"
"40","false","0.1","0","false","0.5","1","0","0.01","1292","true","false"
"45","false","0.1","0","false","0.5","1","0","0.01","612","true","false"
"43","false","0.1","0","false","0.5","1","0","0.01","1433","true","false"
"46","false","0.1","0","false","0.5","1","0","0.01","792","true","false"
"44","false","0.1","0","false","0.5","1","0","0.01","1752","true","false"
"47","false","0.1","0","false","0.5","1","0","0.01","876","true","false"
"48","false","0.1","0","false","0.5","1","0","0.01","1231","true","false"
"41","false","0.1","0","false","0.5","1","0","0.01","3706","true","false"
"49","false","0.1","0","false","0.5","1","0","0.01","1276","true","false"
"51","false","0.1","0","false","0.5","1","0","0.01","1038","true","false"
"53","false","0.1","0","false","0.5","1","0","0.01","942","true","false"
"52","false","0.1","0","false","0.5","1","0","0.01","1075","true","false"
"55","false","0.1","0","false","0.5","1","0","0.01","441","true","false"
"54","false","0.1","0","false","0.5","1","0","0.01","773","true","false"
"58","false","0.1","0","false","0.5","1","0","0.01","972","true","false"
"50","false","0.1","0","false","0.5","1","0","0.01","2044","true","false"
"57","false","0.1","0","false","0.5","1","0","0.01","2335","true","false"
"56","false","0.1","0","false","0.5","1","0","0.01","3043","true","false"
"59","false","0.1","0","false","0.5","1","0","0.01","1778","true","false"
"62","false","0.1","0","false","0.5","1","0","0.01","822","true","false"
"61","false","0.1","0","false","0.5","1","0","0.01","1798","true","false"
"63","false","0.1","0","false","0.5","1","0","0.01","1211","true","false"
"60","false","0.1","0","false","0.5","1","0","0.01","2363","true","false"
"64","false","0.1","0","false","0.5","1","0","0.01","1804","true","false"
"66","false","0.1","0","false","0.5","1","0","0.01","1070","true","false"
"69","false","0.1","0","false","0.5","1","0","0.01","1209","true","false"
"65","false","0.1","0","false","0.5","1","0","0.01","2788","true","false"
"68","false","0.1","0","false","0.5","1","0","0.01","2079","true","false"
"70","false","0.1","0","false","0.5","1","0","0.01","873","true","false"
"67","false","0.1","0","false","0.5","1","0","0.01","2367","true","false"
"74","false","0.1","0","false","0.5","1","0","0.01","212","false","true"
"71","false","0.1","0","false","0.5","1","0","0.01","909","true","false"
"72","false","0.1","0","false","0.5","1","0","0.01","1051","true","false"
"76","false","0.1","0","false","0.5","1","0","0.01","1352","true","false"
"75","false","0.1","0","false","0.5","1","0","0.01","1239","true","false"
"73","false","0.1","0","false","0.5","1","0","0.01","1868","true","false"
"78","false","0.1","0","false","0.5","1","0","0.01","909","true","false"
"80","false","0.1","0","false","0.5","1","0","0.01","874","true","false"
"77","false","0.1","0","false","0.5","1","0","0.01","2638","true","false"
"81","false","0.1","0","false","0.5","1","0","0.01","954","true","false"
"82","false","0.1","0","false","0.5","1","0","0.01","1495","true","false"
"85","false","0.1","0","false","0.5","1","0","0.01","155","false","true"
"84","false","0.1","0","false","0.5","1","0","0.01","880","true","false"
"79","false","0.1","0","false","0.5","1","0","0.01","2274","true","false"
"83","false","0.1","0","false","0.5","1","0","0.01","1168","true","false"
"88","false","0.1","0","false","0.5","1","0","0.01","807","true","false"
"86","false","0.1","0","false","0.5","1","0","0.01","1447","true","false"
"87","false","0.1","0","false","0.5","1","0","0.01","1514","true","false"
"89","false","0.1","0","false","0.5","1","0","0.01","1275","true","false"
"91","false","0.1","0","false","0.5","1","0","0.01","703","true","false"
"90","false","0.1","0","false","0.5","1","0","0.01","876","true","false"
"92","false","0.1","0","false","0.5","1","0","0.01","1070","true","false"
"95","false","0.1","0","false","0.5","1","0","0.01","674","true","false"
"93","false","0.1","0","false","0.5","1","0","0.01","1400","true","false"
"94","false","0.1","0","false","0.5","1","0","0.01","1186","true","false"
"96","false","0.1","0","false","0.5","1","0","0.01","957","true","false"
"98","false","0.1","0","false","0.5","1","0","0.01","936","true","false"
"97","false","0.1","0","false","0.5","1","0","0.01","1554","true","false"
"99","false","0.1","0","false","0.5","1","0","0.01","1425","true","false"
"100","false","0.1","0","false","0.5","1","0","0.01","1124","true","false"
"102","false","0.1","0","false","0.5","1","0","0.1","441","true","false"
"101","false","0.1","0","false","0.5","1","0","0.1","1580","true","false"
"105","false","0.1","0","false","0.5","1","0","0.1","764","true","false"
"103","false","0.1","0","false","0.5","1","0","0.1","2295","true","false"
"106","false","0.1","0","false","0.5","1","0","0.1","1361","true","false"
"108","false","0.1","0","false","0.5","1","0","0.1","56","false","true"
"107","false","0.1","0","false","0.5","1","0","0.1","713","true","false"
"104","false","0.1","0","false","0.5","1","0","0.1","2685","true","false"
"109","false","0.1","0","false","0.5","1","0","0.1","1236","true","false"
"111","false","0.1","0","false","0.5","1","0","0.1","601","true","false"
"112","false","0.1","0","false","0.5","1","0","0.1","899","true","false"
